Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,ApproxExitDate,SnapshotDate,AttritionFlag,AgeGroup,TenureBand,IncomeBand,SalaryPerYearAtCompany
42,No,Travel_Rarely,356,Research & Development,7,3,Technical Degree,1,21,1,Male,82,3,2,Healthcare Representative,3,Single,9096,9277,1,Y,Yes,17,3,3,80,1,22,2,2,19,16,4,13,2006-04-12,,2025-12-31,0,35-44,11+ years,Q4 High,5744.8421052631575
45,No,Non-Travel,1345,Human Resources,5,4,Life Sciences,1,23,2,Male,32,3,1,Human Resources,1,Married,4029,11893,0,Y,Yes,13,3,1,80,3,8,6,3,3,2,1,2,2022-07-23,,2025-12-31,0,45+,2-3 years,Q1 Low,16116.0
34,No,Travel_Rarely,145,Sales,15,3,Medical,1,25,4,Male,66,3,1,Sales Representative,4,Married,4272,10997,2,Y,No,15,3,4,80,1,6,4,2,4,2,1,2,2021-12-15,,2025-12-31,0,26-34,4-5 years,Q1 Low,12816.0
53,No,Travel_Frequently,1383,Research & Development,9,3,Medical,1,27,2,Male,81,2,1,Research Scientist,4,Married,5819,25112,1,Y,No,17,3,2,80,0,7,3,3,5,5,0,2,2020-07-24,,2025-12-31,0,45+,4-5 years,Q2,13965.6
39,No,Non-Travel,114,Research & Development,10,4,Life Sciences,1,29,1,Male,35,3,1,Research Scientist,4,Married,7697,14211,3,Y,No,15,3,2,80,1,22,6,2,19,10,4,7,2006-11-15,,2025-12-31,0,35-44,11+ years,Q3,4861.263157894737
41,No,Travel_Rarely,948,Research & Development,4,4,Life Sciences,1,31,3,Male,50,3,1,Laboratory Technician,3,Single,5834,3892,3,Y,No,13,3,3,80,0,16,4,1,13,12,4,8,2012-02-13,,2025-12-31,0,35-44,11+ years,Q2,5385.2307692307695
43,No,Travel_Rarely,727,Research & Development,16,4,Medical,1,33,3,Female,74,3,1,Laboratory Technician,3,Single,4545,11518,1,Y,Yes,21,3,3,80,1,8,3,3,7,3,3,4,2018-11-06,,2025-12-31,0,35-44,6-10 years,Q1 Low,7791.428571428572
41,Yes,Travel_Rarely,111,Research & Development,7,2,Life Sciences,1,35,2,Female,34,3,2,Manufacturing Director,3,Single,5770,3917,3,Y,No,18,4,4,80,1,7,5,2,6,4,2,3,2019-03-26,2024-05-27,2025-12-31,1,35-44,6-10 years,Q2,11540.0
45,No,Non-Travel,100,Research & Development,3,1,Marketing,1,37,2,Male,32,2,1,Laboratory Technician,2,Divorced,5672,8499,2,Y,No,16,3,4,80,1,11,2,3,5,2,0,4,2020-08-09,,2025-12-31,0,45+,4-5 years,Q2,13612.8
31,No,Travel_Rarely,176,Research & Development,8,2,Human Resources,1,39,3,Male,49,3,1,Laboratory Technician,3,Married,6063,23605,2,Y,No,17,3,3,80,2,13,5,4,10,4,1,6,2015-11-08,,2025-12-31,0,26-34,6-10 years,Q2,7275.6
32,No,Travel_Rarely,641,Research & Development,4,2,Life Sciences,1,41,1,Male,90,3,1,Research Scientist,4,Married,7289,15878,1,Y,No,14,3,2,80,0,23,2,4,18,9,1,13,2007-12-28,,2025-12-31,0,26-34,11+ years,Q3,4859.333333333333
27,No,Travel_Rarely,1095,Research & Development,21,4,Life Sciences,1,43,3,Female,64,3,1,Laboratory Technician,1,Divorced,6715,14602,4,Y,No,14,4,2,80,2,11,2,2,11,4,1,7,2014-06-26,,2025-12-31,0,26-34,11+ years,Q3,7325.454545454545
41,No,Travel_Rarely,1001,Research & Development,29,3,Medical,1,45,2,Male,61,3,1,Research Scientist,1,Married,5943,4241,2,Y,Yes,12,3,2,80,1,13,1,3,8,8,1,3,2017-10-16,,2025-12-31,0,35-44,6-10 years,Q2,8914.5
44,No,Travel_Frequently,940,Research & Development,8,1,Marketing,1,47,4,Male,48,4,1,Research Scientist,4,Divorced,6386,25625,2,Y,Yes,19,3,3,80,0,16,4,3,12,10,1,8,2013-08-06,,2025-12-31,0,35-44,11+ years,Q2,6386.0
41,No,Travel_Rarely,149,Research & Development,17,2,Life Sciences,1,49,4,Male,44,2,1,Laboratory Technician,2,Divorced,4285,20357,2,Y,Yes,14,3,4,80,0,7,4,3,5,2,0,2,2020-02-22,,2025-12-31,0,35-44,4-5 years,Q1 Low,10284.0
52,No,Travel_Rarely,1129,Sales,17,2,Life Sciences,1,51,3,Male,86,2,4,Manager,3,Single,17714,24322,4,Y,Yes,17,3,2,80,1,23,3,3,20,10,2,12,2005-06-25,,2025-12-31,0,45+,11+ years,Q4 High,10628.4
37,No,Non-Travel,174,Research & Development,1,3,Medical,1,53,2,Male,55,2,1,Laboratory Technician,4,Divorced,6224,23910,3,Y,Yes,13,3,2,80,0,24,2,2,20,15,3,9,2005-06-19,,2025-12-31,0,35-44,11+ years,Q2,3734.4
43,Yes,Travel_Rarely,445,Research & Development,5,4,Human Resources,1,55,3,Female,99,3,1,Laboratory Technician,2,Married,5751,14232,2,Y,No,19,3,3,80,0,13,4,3,7,4,0,2,2018-03-31,2025-02-09,2025-12-31,1,35-44,6-10 years,Q2,9858.857142857143
27,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,57,3,Male,31,3,1,Laboratory Technician,4,Married,3708,5978,2,Y,No,12,4,1,80,1,5,2,3,4,3,1,2,2021-10-10,,2025-12-31,0,26-34,4-5 years,Q1 Low,11124.0
33,No,Travel_Rarely,777,Research & Development,6,4,Medical,1,59,2,Female,78,3,2,Healthcare Representative,3,Single,7534,3315,1,Y,Yes,17,3,4,80,0,6,2,3,4,3,1,2,2021-04-14,,2025-12-31,0,26-34,4-5 years,Q3,22602.0
43,No,Travel_Rarely,943,Research & Development,5,2,Human Resources,1,61,4,Male,77,3,1,Laboratory Technician,4,Married,5225,17913,4,Y,No,19,3,3,80,2,11,1,3,6,4,1,2,2019-08-11,,2025-12-31,0,35-44,6-10 years,Q2,10450.0
45,No,Travel_Rarely,950,Research & Development,18,2,Medical,1,63,3,Male,61,3,1,Laboratory Technician,4,Divorced,5346,17458,4,Y,No,17,3,3,80,2,14,1,3,9,6,1,7,2016-05-15,,2025-12-31,0,45+,6-10 years,Q2,7128.0
34,No,Travel_Frequently,1397,Research & Development,6,2,Medical,1,65,4,Female,32,3,1,Research Scientist,4,Married,4087,15266,2,Y,No,17,3,2,80,1,5,0,3,1,1,0,1,2024-08-03,,2025-12-31,0,26-34,0-1 years,Q1 Low,49044.0
36,No,Travel_Rarely,367,Sales,11,3,Medical,1,67,1,Male,49,3,2,Sales Executive,1,Single,6578,8795,0,Y,No,15,3,4,80,0,11,2,4,7,3,2,3,2018-11-27,,2025-12-31,0,35-44,6-10 years,Q2,11276.57142857143
23,No,Travel_Rarely,1431,Human Resources,17,4,Human Resources,1,69,1,Female,66,3,1,Human Resources,2,Single,4698,26779,3,Y,No,16,4,1,80,1,16,5,4,14,8,5,7,2011-02-15,,2025-12-31,0,18-25,11+ years,Q1 Low,4026.8571428571427
34,No,Travel_Rarely,855,Sales,21,3,Medical,1,71,4,Male,49,2,2,Sales Executive,1,Single,6894,8548,4,Y,No,11,4,4,80,1,7,4,3,6,2,0,4,2019-06-16,,2025-12-31,0,26-34,6-10 years,Q3,13788.0
45,No,Travel_Rarely,698,Research & Development,3,4,Technical Degree,1,73,3,Male,89,3,1,Laboratory Technician,3,Married,4549,17499,4,Y,No,13,4,2,80,2,8,1,3,4,3,1,1,2021-01-05,,2025-12-31,0,45+,4-5 years,Q1 Low,13647.0
42,No,Travel_Frequently,711,Research & Development,4,3,Medical,1,75,3,Female,88,3,1,Laboratory Technician,4,Married,5984,19783,1,Y,Yes,18,3,4,80,0,14,1,3,9,6,3,5,2016-06-25,,2025-12-31,0,35-44,6-10 years,Q2,7978.666666666667
41,No,Travel_Rarely,797,Sales,10,1,Marketing,1,77,3,Male,71,3,1,Sales Representative,3,Divorced,4839,19756,2,Y,No,22,3,4,80,1,10,4,3,7,6,2,4,2018-12-16,,2025-12-31,0,35-44,6-10 years,Q1 Low,8295.42857142857
37,No,Travel_Rarely,1345,Research & Development,1,1,Life Sciences,1,79,2,Female,52,3,2,Manufacturing Director,4,Married,7584,15734,4,Y,Yes,16,3,1,80,1,15,3,2,12,6,5,9,2013-07-25,,2025-12-31,0,35-44,11+ years,Q3,7584.0
37,No,Travel_Rarely,377,Research & Development,4,3,Life Sciences,1,81,3,Male,70,3,2,Healthcare Representative,2,Divorced,7589,11448,7,Y,No,18,3,4,80,0,4,5,3,3,2,1,2,2022-03-29,,2025-12-31,0,35-44,2-3 years,Q3,30356.0
31,No,Travel_Rarely,1481,Research & Development,19,4,Marketing,1,83,1,Female,56,3,2,Manufacturing Director,2,Single,7323,7106,1,Y,No,17,3,3,80,0,13,3,3,9,4,0,3,2016-01-18,,2025-12-31,0,26-34,6-10 years,Q3,9764.0
43,No,Travel_Rarely,784,Research & Development,13,2,Life Sciences,1,85,3,Male,75,3,4,Manager,4,Single,17454,5203,1,Y,No,25,3,1,80,1,20,4,3,18,13,3,8,2007-06-08,,2025-12-31,0,35-44,11+ years,Q4 High,11636.0
41,No,Travel_Rarely,417,Sales,8,4,Medical,1,87,3,Male,46,3,2,Sales Executive,3,Single,8249,15207,1,Y,No,19,3,1,80,0,12,3,2,9,8,3,5,2016-08-21,,2025-12-31,0,35-44,6-10 years,Q3,10998.666666666666
41,No,Travel_Rarely,1165,Research & Development,12,4,Life Sciences,1,89,4,Female,31,3,1,Research Scientist,4,Married,4157,4682,4,Y,No,17,3,3,80,3,13,1,3,4,3,2,1,2021-06-27,,2025-12-31,0,35-44,4-5 years,Q1 Low,12471.0
32,Yes,Travel_Frequently,1190,Sales,14,3,Marketing,1,91,3,Female,44,2,2,Sales Executive,2,Single,4152,9922,2,Y,Yes,12,3,3,80,2,5,2,3,1,1,0,1,2024-02-04,2021-10-13,2025-12-31,1,26-34,0-1 years,Q1 Low,49824.0
18,Yes,Travel_Rarely,1004,Research & Development,2,4,Life Sciences,1,93,1,Female,86,3,1,Laboratory Technician,4,Divorced,3145,15265,1,Y,Yes,14,4,4,80,1,7,2,3,4,4,0,1,2021-05-04,2024-01-07,2025-12-31,1,18-25,4-5 years,Q1 Low,9435.0
47,No,Travel_Frequently,1315,Research & Development,6,3,Marketing,1,95,3,Female,70,2,2,Healthcare Representative,3,Married,7645,26809,3,Y,Yes,13,3,4,80,1,8,5,3,6,5,1,1,2019-07-02,,2025-12-31,0,45+,6-10 years,Q3,15290.0
33,No,Travel_Frequently,242,Research & Development,21,3,Medical,1,97,1,Female,43,3,1,Research Scientist,4,Divorced,4951,4137,1,Y,No,20,3,3,80,0,9,4,2,2,1,1,0,2023-06-20,,2025-12-31,0,26-34,2-3 years,Q2,29706.0
29,No,Travel_Rarely,253,Research & Development,10,4,Life Sciences,1,99,2,Male,37,3,3,Research Director,1,Married,11085,13767,0,Y,No,15,3,4,80,2,8,1,3,7,3,1,5,2018-05-03,,2025-12-31,0,26-34,6-10 years,Q4 High,19002.85714285714
43,No,Travel_Rarely,1217,Human Resources,10,5,Medical,1,101,1,Male,36,3,1,Human Resources,3,Married,5003,25531,2,Y,No,15,3,3,80,1,9,4,4,6,4,1,3,2019-12-19,,2025-12-31,0,35-44,6-10 years,Q2,10006.0
33,Yes,Travel_Rarely,1320,Sales,8,3,Life Sciences,1,103,3,Male,96,3,4,Manager,4,Married,11865,21190,1,Y,No,23,3,2,80,1,6,2,3,3,3,1,1,2022-07-11,2025-03-24,2025-12-31,1,26-34,2-3 years,Q4 High,47460.0
47,No,Travel_Rarely,477,Sales,1,3,Life Sciences,1,105,1,Male,55,3,2,Sales Executive,4,Divorced,9276,12119,3,Y,No,20,4,4,80,2,16,6,3,11,7,1,8,2014-02-26,,2025-12-31,0,45+,11+ years,Q4 High,10119.272727272728
43,No,Travel_Frequently,860,Sales,5,2,Life Sciences,1,107,3,Male,32,2,2,Sales Executive,1,Married,9536,6850,0,Y,No,19,4,1,80,0,16,2,2,13,6,5,4,2012-09-29,,2025-12-31,0,35-44,11+ years,Q4 High,8802.461538461539
43,No,Travel_Rarely,633,Research & Development,11,2,Life Sciences,1,109,4,Male,75,2,1,Laboratory Technician,2,Divorced,8378,16787,3,Y,No,12,4,2,80,1,22,2,3,21,19,8,9,2004-12-23,,2025-12-31,0,35-44,11+ years,Q3,4787.428571428572
24,No,Travel_Rarely,736,Sales,6,3,Other,1,111,3,Male,33,3,2,Sales Executive,3,Divorced,7123,3957,1,Y,No,11,3,4,80,1,12,0,2,6,3,1,2,2019-08-01,,2025-12-31,0,18-25,6-10 years,Q3,14246.0
48,No,Travel_Rarely,925,Research & Development,3,4,Life Sciences,1,113,1,Female,86,3,1,Research Scientist,1,Married,4435,11685,1,Y,No,12,3,3,80,0,7,2,3,3,2,1,2,2022-07-20,,2025-12-31,0,45+,2-3 years,Q1 Low,17740.0
39,No,Travel_Rarely,792,Research & Development,4,3,Medical,1,115,2,Male,75,1,1,Research Scientist,4,Married,4950,2931,1,Y,No,18,3,1,80,0,8,3,3,3,2,1,2,2022-09-20,,2025-12-31,0,35-44,2-3 years,Q2,19800.0
34,No,Travel_Rarely,886,Research & Development,21,2,Life Sciences,1,117,3,Male,43,2,2,Healthcare Representative,1,Single,9403,2047,3,Y,No,14,3,1,80,1,17,6,3,17,15,1,11,2008-06-07,,2025-12-31,0,26-34,11+ years,Q4 High,6637.411764705882
38,Yes,Travel_Frequently,261,Research & Development,5,2,Medical,1,119,4,Male,32,3,1,Laboratory Technician,2,Married,5269,20654,3,Y,No,12,3,3,80,1,11,2,3,8,7,0,2,2017-08-26,2022-09-23,2025-12-31,1,35-44,6-10 years,Q2,7903.5
21,No,Travel_Rarely,565,Research & Development,18,3,Life Sciences,1,121,1,Female,42,3,1,Research Scientist,3,Divorced,4179,7767,1,Y,No,18,3,4,80,0,12,6,3,7,6,0,4,2018-12-30,,2025-12-31,0,18-25,6-10 years,Q1 Low,7164.0
41,No,Travel_Rarely,377,Research & Development,10,2,Medical,1,123,4,Female,37,3,1,Laboratory Technician,3,Married,6529,12952,1,Y,No,12,3,3,80,2,18,1,3,15,11,6,9,2010-05-09,,2025-12-31,0,35-44,11+ years,Q2,5223.2
28,No,Travel_Rarely,571,Sales,7,2,Medical,1,125,3,Female,85,3,4,Manager,4,Single,13903,26302,1,Y,No,16,3,3,80,0,5,4,3,4,2,1,2,2021-08-03,,2025-12-31,0,26-34,4-5 years,Q4 High,41709.0
25,No,Travel_Rarely,240,Research & Development,4,4,Medical,1,127,3,Male,31,2,1,Research Scientist,4,Single,7707,6561,2,Y,No,18,3,2,80,1,22,3,3,19,14,1,8,2006-08-22,,2025-12-31,0,18-25,11+ years,Q3,4867.578947368421
23,Yes,Travel_Rarely,909,Research & Development,13,1,Life Sciences,1,129,4,Male,75,3,1,Laboratory Technician,1,Married,3597,16306,1,Y,Yes,16,3,2,80,0,7,0,2,5,4,1,4,2020-08-08,2022-05-24,2025-12-31,1,18-25,4-5 years,Q1 Low,8632.8
47,No,Travel_Rarely,1370,Research & Development,17,3,Medical,1,131,3,Male,60,2,1,Research Scientist,4,Married,6278,15591,1,Y,Yes,25,4,1,80,0,20,1,3,14,8,0,3,2011-06-29,,2025-12-31,0,45+,11+ years,Q2,5381.142857142857
31,No,Travel_Rarely,933,Research & Development,14,4,Life Sciences,1,133,4,Male,64,3,1,Research Scientist,2,Married,5123,17680,1,Y,No,14,3,2,80,1,12,3,3,8,4,0,5,2017-07-18,,2025-12-31,0,26-34,6-10 years,Q2,7684.5
51,No,Travel_Frequently,802,Sales,2,2,Life Sciences,1,135,2,Male,91,3,4,Manager,3,Married,15129,2678,3,Y,No,13,4,3,80,1,13,2,3,9,5,2,4,2016-08-28,,2025-12-31,0,45+,6-10 years,Q4 High,20172.0
32,Yes,Travel_Frequently,269,Research & Development,5,3,Medical,1,137,3,Male,75,3,1,Research Scientist,1,Single,4541,14137,4,Y,Yes,12,3,2,80,1,11,2,3,6,4,1,4,2019-10-03,2021-12-13,2025-12-31,1,26-34,6-10 years,Q1 Low,9082.0
21,No,Travel_Rarely,318,Human Resources,6,3,Medical,1,139,3,Male,53,3,1,Human Resources,1,Divorced,6024,16286,2,Y,No,15,3,1,80,1,22,0,3,19,7,5,6,2006-10-21,,2025-12-31,0,18-25,11+ years,Q2,3804.6315789473683
27,No,Travel_Rarely,133,Sales,1,3,Medical,1,141,2,Female,94,3,4,Manager,2,Married,14280,19974,2,Y,Yes,20,3,4,80,0,9,2,3,4,3,1,1,2021-10-16,,2025-12-31,0,26-34,4-5 years,Q4 High,42840.0
48,No,Travel_Rarely,384,Research & Development,12,3,Medical,1,143,3,Female,73,3,1,Research Scientist,2,Single,6072,17436,0,Y,No,22,3,4,80,1,20,0,2,15,6,5,9,2010-09-13,,2025-12-31,0,45+,11+ years,Q2,4857.6
35,No,Travel_Frequently,1159,Research & Development,13,3,Life Sciences,1,145,2,Male,80,3,1,Laboratory Technician,4,Single,2543,4518,5,Y,No,24,3,4,80,0,11,3,3,3,1,1,3,2022-10-20,,2025-12-31,0,35-44,2-3 years,Q1 Low,10172.0
32,Yes,Travel_Rarely,1497,Sales,13,4,Life Sciences,1,147,1,Male,75,3,2,Sales Executive,4,Married,6160,25516,3,Y,Yes,15,3,3,80,0,9,4,2,1,0,0,1,2024-08-29,2025-06-01,2025-12-31,1,26-34,0-1 years,Q2,73920.0
38,No,Non-Travel,364,Sales,11,4,Life Sciences,1,149,2,Male,62,3,4,Manager,4,Married,15794,19950,0,Y,No,16,4,1,80,2,16,2,2,11,8,2,4,2014-06-06,,2025-12-31,0,35-44,11+ years,Q4 High,17229.81818181818
41,No,Travel_Rarely,952,Sales,6,3,Medical,1,151,3,Male,93,3,1,Sales Representative,3,Divorced,5147,15412,3,Y,No,16,3,4,80,1,12,4,2,7,4,1,2,2018-06-24,,2025-12-31,0,35-44,6-10 years,Q2,8823.42857142857
47,No,Travel_Rarely,1421,Sales,4,1,Medical,1,153,4,Female,55,1,4,Manager,2,Single,15370,25067,1,Y,No,15,3,1,80,0,12,4,3,8,5,1,5,2017-10-19,,2025-12-31,0,45+,6-10 years,Q4 High,23055.0
50,No,Non-Travel,106,Research & Development,6,1,Life Sciences,1,155,3,Male,68,3,1,Laboratory Technician,2,Single,4171,19951,2,Y,No,12,3,3,80,1,5,4,3,2,2,0,1,2023-05-20,,2025-12-31,0,45+,2-3 years,Q1 Low,25026.0
34,No,Travel_Rarely,122,Research & Development,11,1,Medical,1,157,3,Female,87,3,1,Research Scientist,2,Single,5972,13526,2,Y,Yes,11,3,4,80,1,13,2,4,7,6,1,5,2018-01-28,,2025-12-31,0,26-34,6-10 years,Q2,10237.714285714286
25,No,Travel_Rarely,634,Research & Development,20,3,Medical,1,159,1,Male,55,3,1,Laboratory Technician,2,Married,4827,2205,2,Y,No,14,3,4,80,1,8,3,3,5,4,0,3,2020-02-05,,2025-12-31,0,18-25,4-5 years,Q1 Low,11584.8
33,No,Travel_Rarely,1395,Sales,9,1,Medical,1,161,4,Female,96,3,4,Manager,3,Single,19340,3805,2,Y,No,12,3,4,80,1,30,0,3,25,17,6,13,2000-08-20,,2025-12-31,0,26-34,11+ years,Q4 High,9283.2
39,No,Travel_Rarely,168,Research & Development,9,3,Medical,1,163,3,Male,86,3,1,Laboratory Technician,3,Single,6341,4120,1,Y,Yes,21,3,4,80,1,13,4,1,12,10,3,7,2013-07-21,,2025-12-31,0,35-44,11+ years,Q2,6341.0
28,No,Travel_Rarely,112,Research & Development,1,4,Medical,1,165,3,Female,99,4,2,Healthcare Representative,2,Single,8159,12821,2,Y,No,18,3,4,80,1,16,2,2,8,7,1,2,2017-07-01,,2025-12-31,0,26-34,6-10 years,Q3,12238.5
28,No,Travel_Rarely,1389,Research & Development,11,2,Medical,1,167,3,Male,37,2,2,Healthcare Representative,1,Married,8313,24194,2,Y,No,16,3,2,80,1,18,4,3,14,13,6,9,2011-02-16,,2025-12-31,0,26-34,11+ years,Q3,7125.428571428572
40,Yes,Travel_Frequently,357,Research & Development,21,4,Life Sciences,1,169,2,Female,63,3,1,Research Scientist,1,Married,5104,25069,2,Y,No,11,3,4,80,1,9,1,3,6,2,2,3,2019-02-10,2025-10-04,2025-12-31,1,35-44,6-10 years,Q2,10208.0
36,Yes,Travel_Rarely,819,Research & Development,8,4,Life Sciences,1,171,3,Male,98,3,1,Research Scientist,2,Married,5946,19821,0,Y,Yes,17,3,1,80,1,12,4,2,8,3,3,6,2017-06-02,2021-08-08,2025-12-31,1,35-44,6-10 years,Q2,8919.0
37,No,Non-Travel,1047,Sales,7,2,Life Sciences,1,173,4,Male,39,3,1,Sales Representative,1,Divorced,4286,16991,2,Y,No,17,3,4,80,0,10,3,3,6,3,2,2,2019-10-18,,2025-12-31,0,35-44,6-10 years,Q1 Low,8572.0
30,No,Travel_Rarely,1398,Research & Development,6,4,Medical,1,175,1,Female,51,3,1,Laboratory Technician,4,Married,5387,3942,3,Y,No,14,3,2,80,0,8,3,3,5,5,0,2,2020-10-19,,2025-12-31,0,26-34,4-5 years,Q2,12928.8
35,No,Travel_Rarely,1220,Sales,14,4,Technical Degree,1,177,3,Female,41,3,4,Manager,1,Single,14703,12997,4,Y,Yes,17,3,1,80,2,13,4,3,9,6,4,7,2016-09-09,,2025-12-31,0,35-44,6-10 years,Q4 High,19604.0
28,No,Travel_Rarely,1151,Research & Development,1,3,Life Sciences,1,179,4,Female,58,2,2,Healthcare Representative,4,Married,9127,4827,1,Y,Yes,20,3,4,80,2,21,1,2,14,8,6,8,2011-01-30,,2025-12-31,0,26-34,11+ years,Q4 High,7823.142857142857
45,Yes,Travel_Rarely,744,Research & Development,19,2,Life Sciences,1,181,2,Female,60,3,1,Research Scientist,2,Married,3904,9380,2,Y,Yes,18,3,1,80,1,10,3,3,7,5,1,6,2018-11-15,2024-12-13,2025-12-31,1,45+,6-10 years,Q1 Low,6692.571428571428
46,No,Travel_Rarely,513,Sales,7,3,Marketing,1,183,4,Female,35,2,2,Sales Executive,1,Single,7492,26642,0,Y,No,15,3,4,80,0,7,5,3,4,3,0,3,2021-02-17,,2025-12-31,0,45+,4-5 years,Q3,22476.0
20,No,Non-Travel,1227,Sales,11,4,Marketing,1,185,4,Male,36,3,4,Manager,4,Single,15223,13093,1,Y,No,13,3,2,80,0,11,3,4,6,5,1,5,2019-05-09,,2025-12-31,0,18-25,6-10 years,Q4 High,30446.0
28,No,Travel_Rarely,1165,Research & Development,14,3,Technical Degree,1,187,3,Male,42,3,1,Research Scientist,3,Single,4097,26020,3,Y,No,15,3,4,80,0,13,3,3,5,4,2,2,2020-03-25,,2025-12-31,0,26-34,4-5 years,Q1 Low,9832.8
23,No,Travel_Rarely,764,Sales,4,2,Medical,1,189,2,Male,92,3,4,Manager,2,Married,12967,10555,0,Y,Yes,22,3,4,80,1,10,4,2,6,5,0,2,2019-06-19,,2025-12-31,0,18-25,6-10 years,Q4 High,25934.0
31,No,Travel_Rarely,1414,Research & Development,8,3,Technical Degree,1,191,2,Female,53,3,1,Laboratory Technician,4,Single,4198,6495,1,Y,Yes,19,3,3,80,0,8,2,3,5,3,1,4,2020-01-07,,2025-12-31,0,26-34,4-5 years,Q1 Low,10075.2
36,No,Travel_Frequently,835,Research & Development,7,3,Life Sciences,1,193,1,Male,48,3,2,Manufacturing Director,1,Married,7584,21281,3,Y,No,11,3,2,80,1,17,4,3,12,8,3,9,2013-11-07,,2025-12-31,0,35-44,11+ years,Q3,7584.0
24,Yes,Travel_Frequently,1162,Research & Development,3,3,Life Sciences,1,195,4,Male,98,2,1,Research Scientist,2,Married,9203,2259,0,Y,No,19,3,1,80,1,30,6,3,28,25,2,17,1997-09-08,2022-09-26,2025-12-31,1,18-25,11+ years,Q4 High,3944.1428571428573
29,Yes,Travel_Rarely,539,Research & Development,17,4,Life Sciences,1,197,4,Male,51,3,1,Laboratory Technician,4,Single,5107,9929,0,Y,No,12,3,4,80,1,10,2,3,6,5,2,3,2019-09-03,2023-09-28,2025-12-31,1,26-34,6-10 years,Q2,10214.0
